Clean B,Employee 004,Employee 014,Employee 006,Employee 011,Employee 006,Employee 005,Employee 005, ,,CFN,Employee 013,8,0,8,0,,,,,,
clean help,,,,,,,, ,,CN,Employee 005,7,1,5,1,,,,,,
宿直(19-10),Employee 002,Employee 012,Employee 006,Employee 012,Employee 006,Employee 005,Employee 011,,,,Employee 005,確認確定したらこっち,,,,,,,,,
,9/21,9/22,9/23,9/24,9/25,9/26,9/27,,,,,,,,,,,,,,
front 10-19,Employee 004,Employee 001,Employee 004,Employee 001,Employee 002,Employee 012,Employee 001,,,,,,,,,,,,,,
front help,,,,,,,,,,,,,,,,,,,,,
memo,,,,,,,,,,,毎月第一水曜にバイト会議 19-,,,,,,,,,,
社員事務作業,,,,,,,,,,,,,,,,,,,,,
Clean A,Employee 006,Employee 003,Employee 014,Employee 007,Employee 009,Employee 014,Employee 013,,,,最初は１ヶ月おきぐらい,,,,,,,,,,
Clean B,Employee 013,Employee 004,Employee 006,Employee 013,Employee 003,Employee 008,Employee 002,,,,,,,,,,,,,,
clean help,,,,,,,,,,,,,,,,,,,,,
宿直(19-10),Employee 006,Employee 001,Employee 006,Employee 001,Employee 001,Employee 004,Employee 008,,,,,,,,,,,,,,
,9/28,9/29,9/30,,,,,,,,,,,,,,,,,,
front 10-19,Employee 001,Employee 010,Employee 004,,,,,,,,,,,,,,,,,,
front help,,,,,,,,,,,,,,,,,,,,,
memo,,,,,,,,,,,,,,,,,,,,,
社員事務作業,,,,,,,,,,,,,,,,,,,,,
Clean A,Employee 011,Employee 013,Employee 014,,,,,,,,,,,,,,,,,,
Clean B,Employee 004,Employee 003,Employee 003,,,,,,,,,,,,,,,,,,
clean help,,,,,,,,,,,,,,,,,,,,,
宿直(19-10),Employee 011,Employee 012,Employee 008,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
front 10-19,,,,,,,,,,,,,,,,,,,,,
front help,,,,,,,,,,,,,,,,,,,,,
memo,,,,,,,,,,,,,,,,,,,,,
社員事務作業,,,,,,,,,,,,,,,,,,,,,
Clean A,,,,,,,,,,,,,,,,,,,,,
Clean B,,,,,,,,,,,,,,,,,,,,,
clean help,,,,,,,,,,,,,,,,,,,,,
宿直(19-10),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,,,,,,,,,,,,,
